MODEL_LDA;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_NMF;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_LSI;TOPIC INDEX;TOPIC NAME;AVERAGE
all_all_topic;topic 3;fin semana;2.853.217.521.543.740;all_all_topic;topic 3;madre gestante;56.295.214.197.904.100;all_all_topic;topic 3;secretario seguridad;0.15311675231918012
all_all_topic;topic 3;proximo sabado;2.826.334.789.361.060;all_all_topic;topic 3;programar bueno;37.851.344.479.808.000;all_all_topic;topic 3;sonar radiar;0.1362249702711088
all_all_topic;topic 3;parque explorar;24.095.397.261.641.400;all_all_topic;topic 3;internacional bueno;33.961.614.747.649.900;all_all_topic;topic 3;responsable homicidio;0.13268121932987154
all_all_topic;topic 3;hacer partir;23.248.635.529.615.000;all_all_topic;topic 3;volver simple;32.157.474.831.941.500;all_all_topic;topic 3;capturar responsable;0.1312201181486026
all_all_topic;topic 3;hoy tener;22.413.957.035.118.300;all_all_topic;topic 3;nina mesar;29.917.263.185.909.000;all_all_topic;topic 3;eficaz conducir;0.1312201181486026
all_all_topic;topic 3;restaurante situ;21.443.813.301.833.000;all_all_topic;topic 3;matricular nino;29.374.322.641.161.700;all_all_topic;topic 3;conducir capturar;0.13042946212645426
all_all_topic;topic 4;reducir sentir;46.849.622.415.186.100;all_all_topic;topic 4;sonar radiar;1.637.445.024.218.630;all_all_topic;topic 4;sonar radiar;0.5909595731062555
all_all_topic;topic 4;plan desarrollar;4.143.365.983.071.280;all_all_topic;topic 4;radiar sonar;8.543.191.430.705.930;all_all_topic;topic 4;radiar sonar;0.308326733794568
all_all_topic;topic 4;alto flujo;3.979.972.238.991.130;all_all_topic;topic 4;aire convosradio;811.679.878.924.856;all_all_topic;topic 4;aire convosradio;0.29279247872350195
all_all_topic;topic 4;espaciar publicar;34.049.998.398.307.700;all_all_topic;topic 4;minuto alaire;59.805.627.651.832.000;all_all_topic;topic 4;minuto alaire;0.21571013483013793
all_all_topic;topic 4;seguridad convivencia;28.873.697.779.493.600;all_all_topic;topic 4;alaire convosradio;5.767.060.868.539.150;all_all_topic;topic 4;alaire convosradio;0.20811031366607605
all_all_topic;topic 4;hacer partir;28.816.890.094.260.900;all_all_topic;topic 4;minuto aire;5.197.599.509.508.590;all_all_topic;topic 4;minuto aire;0.18754980918944258
all_all_topic;topic 4;secretario seguridad;2.876.884.940.255.820;all_all_topic;topic 4;conectate sonar;4.769.948.548.810.810;all_all_topic;topic 4;conectate sonar;0.17214909303530046
all_all_topic;topic 4;fin semana;2.840.247.416.219.750;all_all_topic;topic 4;temer hoy;4.628.870.831.522.780;all_all_topic;topic 4;temer hoy;0.16598904891628755
all_all_topic;topic 4;responsable homicidio;23.089.454.357.779.600;all_all_topic;topic 4;sonar sonar;4.520.863.263.043.690;all_all_topic;topic 4;sonar sonar;0.16307262430956
all_all_topic;topic 4;ninos ninas;2.267.177.134.854.690;all_all_topic;topic 4;convosradio minuto;4.164.805.822.469.140;all_all_topic;topic 4;convosradio minuto;0.15030928272485186
all_all_topic;topic 5;mabel lopez;4.198.673.500.902.860;all_all_topic;topic 5;seguridad convivencia;7.887.552.723.248.500;all_all_topic;topic 5;seguridad convivencia;0.26400270524905556
all_all_topic;topic 5;luis perez;22.386.027.426.572.700;all_all_topic;topic 5;secretario seguridad;7.819.116.511.819.990;all_all_topic;topic 5;secretario seguridad;0.261576442171708
all_all_topic;topic 5;infantil concejo;10.195.486.999.930.300;all_all_topic;topic 5;responsable homicidio;6.916.174.109.982.020;all_all_topic;topic 5;responsable homicidio;0.23216256884994432
all_all_topic;topic 5;hacer partir;9.668.720.586.429.160;all_all_topic;topic 5;eficaz conducir;68.592.119.687.152;all_all_topic;topic 5;eficaz conducir;0.2303444130726018
all_all_topic;topic 5;hospital infantil;6.821.984.908.873.480;all_all_topic;topic 5;capturar responsable;68.592.119.687.152;all_all_topic;topic 5;capturar responsable;0.2303444130726018
all_all_topic;topic 5;gerente mabel;6.708.335.798.841.480;all_all_topic;topic 5;conducir capturar;6.813.387.725.046.160;all_all_topic;topic 5;conducir capturar;0.22877127922606177
