#;feature;luisfer81567047;gabrielmoreno10;AlcaldiadeMed;QuinteroCalle
29;economica ciudad;0.0;0.0;0.07652969353755275;0.0
30;encontrar procesar;0.0;0.0;0.07652969353755275;0.0
31;equipar trabajar;0.0;0.0;0.006033688941469364;0.12620050217599196
32;escenario deportivo;0.0;0.0;0.0844716451805711;0.03786015065279759
33;escribirnos compartir;0.0;0.0;0.13010047901383967;0.0
34;espaciar publicar;0.0;0.0;0.036202133648816186;0.10096040174079357
35;fin semana;0.0;0.0;0.07843795623910173;0.13882055239359115
36;gracia escribirnos;0.0;0.0;0.28315986608894517;0.0
37;haber ser;0.0;0.0;0.04223582259028555;0.07572030130559518
38;hacer llamar;0.0;0.0;0.024134755765877456;0.11358045195839275
39;hacer mas;0.0;0.0;0.036202133648816186;0.050480200870396785
40;hacer partir;0.0;0.0;0.07240426729763237;0.11358045195839275
41;hoy hablar;0.0;0.0;0.0844716451805711;0.012620050217599196
42;hoy medellinconecta;0.0;0.0;0.16836532578261604;0.0
43;hoy radiar;0.0;0.0;0.08418266289130802;0.0
44;hoy tener;0.0;0.0;0.03016844470734682;0.08834035152319437
45;junto directivo;0.0;0.0;0.1025727120049792;0.12620050217599196
46;mas cercar;0.0;0.0;0.03016844470734682;0.10096040174079357
47;mas importante;0.0;0.027511275340736663;0.06350228566614752;0.1532552744482922
48;medellinconecta radiar;0.0;0.0;0.29846580479645574;0.0
49;medellinmecuida compartir;0.0;0.0;0.21428314190514766;0.0
50;medir bioseguridad;0.0;0.0;0.09948860159881857;0.0
51;mejor futuro;0.0;0.0;0.04826951153175491;0.10096040174079357
52;metro ligero;0.0;0.0;0.0;0.1600693348547385
53;ninos ninas;0.0;0.0;0.14480853459526474;0.07572030130559518
54;nuevo gerencia;0.0;0.0;0.054303200473224275;0.012620050217599196
55;nuevo normalidad;0.0;0.0;0.04826951153175491;0.050480200870396785
56;parque norte;0.0;0.0;0.054303200473224275;0.025240100435198393
57;personar mayor;0.0;0.0;0.12670746777085665;0.08834035152319437
58;picar placa;0.0;0.06796379653493173;0.0;0.2271609039167855
59;plan desarrollar;0.0;0.055022550681473326;0.14165894494755987;0.18390632933795065
60;plaza minorista;0.0;0.0;0.0;0.1600693348547385
61;politica publicar;0.0;0.0;0.066370578356163;0.012620050217599196
62;poner marchar;0.0;0.0;0.04223582259028555;0.07572030130559518
63;primero vez;0.0;0.0;0.024134755765877456;0.07572030130559518
64;procesar proveedor;0.0;0.0;0.14540641772135024;0.0
65;procesar seleccion;0.0;0.0;0.13775344836759496;0.0
66;programar gobernar;0.0;0.0;0.0;0.20809013531116005
67;protocolo bioseguridad;0.0;0.0;0.12244750966008439;0.0
68;proveedor servicio;0.0;0.0;0.10714157095257383;0.0
69;pudrir alimento;0.0;0.0;0.11479454030632912;0.0
70;querer hacer;0.0;0.0;0.012067377882938728;0.12620050217599196
71;querer ser;0.0;0.027511275340736663;0.03907832964070617;0.03065105488965844
72;radiar hablar;0.0;0.0;0.3367306515652321;0.0
73;ratificar compromiso;0.0;0.0;0.04223582259028555;0.050480200870396785
74;reactivacion economica;0.0;0.0;0.1810106682440809;0.050480200870396785
75;reapertura economica;0.0;0.0;0.0844716451805711;0.050480200870396785
76;redar social;0.0;0.98547504975651;0.054303200473224275;0.0
77;sacar adelantar;0.0;0.0;0.03016844470734682;0.08834035152319437
78;salvar vida;1.0;0.0;0.009769582410176543;0.10217018296552814
79;secretario mujer;0.0;0.0;0.04223582259028555;0.03786015065279759
80;secretario salud;0.0;0.0;0.09653902306350982;0.12620050217599196
81;seguir adelantar;0.0;0.0;0.012067377882938728;0.10096040174079357
82;seleccion proveedor;0.0;0.0;0.13775344836759496;0.0
83;ser mas;0.0;0.08253382602220999;0.009769582410176543;0.06130210977931688
84;ser partir;0.0;0.08253382602220999;0.03907832964070617;0.020434036593105626
85;servicio publicos;0.0;0.0;0.024134755765877456;0.07572030130559518
86;siguiente enlazar;0.0;0.0;0.09183563224506329;0.0
87;tener bueno;0.0;0.055022550681473326;0.004884791205088271;0.0715191280758697
88;tener mas;0.0;0.0;0.036202133648816186;0.10096040174079357
89;terminar pudrir;0.0;0.0;0.11479454030632912;0.0
90;tomar decisi;0.0;0.0;0.04223582259028555;0.03786015065279759
91;trabajar conjuntar;0.0;0.0;0.06033688941469364;0.025240100435198393
92;trabajar equipar;0.0;0.0;0.024134755765877456;0.10096040174079357
93;ultimos ano;0.0;0.0;0.018101066824408093;0.10096040174079357
94;usar tapaboca;0.0;0.0;0.054303200473224275;0.2271609039167855
95;usar tecnologia;0.0;0.027511275340736663;0.004884791205088271;0.13282123785518657
96;vehiculos gas;0.0;0.0;0.0;0.2561109357675816
97;vez mas;0.0;0.0;0.024134755765877456;0.11358045195839275
98;vida sagrado;0.0;0.0;0.0;0.1600693348547385
99;vigencia futuro;0.0;0.0;0.03016844470734682;0.07572030130559518
