#;feature;luisfer81567047;gabrielmoreno10;AlcaldiadeMed;QuinteroCalle
0;abrir convocatorio;0.0;0.0;0.13775344836759496;0.0
1;abrir procesar;0.0;0.0;0.09948860159881857;0.0
2;actualizar casar;0.0;0.0;0.11479454030632912;0.0
3;actualizar caso;0.0;0.0;0.07652969353755275;0.0
4;aire hoy;0.0;0.0;0.09183563224506329;0.0
5;aire librar;0.0;0.0;0.07240426729763237;0.025240100435198393
6;alaire hoy;0.0;0.0;0.07652969353755275;0.0
7;alcalde medellin;0.0;0.0;0.0;0.17607626834021234
8;arte cultura;0.0;0.0;0.06033688941469364;0.050480200870396785
9;bueno noticiar;0.0;0.0;0.066370578356163;0.3407413558751783
10;calidad aire;0.0;0.0;0.10860640094644855;0.07572030130559518
11;campana sucio;0.0;0.0;0.0;0.17607626834021234
12;capturar alias;0.0;0.0;0.012067377882938728;0.12620050217599196
13;caso nuevo;0.0;0.027511275340736663;0.043963120845794436;0.020434036593105626
14;cedulas terminar;0.0;0.0;0.09050533412204045;0.012620050217599196
15;centro comercial;0.0;0.0;0.04826951153175491;0.050480200870396785
16;ciencia tecnologia;0.0;0.027511275340736663;0.014654373615264813;0.09195316466897532
17;ciudad tener;0.0;0.0;0.036202133648816186;0.12620050217599196
18;compartir dato;0.0;0.0;0.2678539273814346;0.0
19;compartir informacion;0.0;0.0;0.10714157095257383;0.0
20;compraspublicas abrir;0.0;0.0;0.09948860159881857;0.0
21;compraspublicas encontrar;0.0;0.0;0.07652969353755275;0.0
22;construir medellinfuturo;0.0;0.0;0.006033688941469364;0.11358045195839275
23;convertir ecociudad;0.0;0.0;0.07240426729763237;0.012620050217599196
24;cuidar intensivo;0.0;0.0;0.0;0.2721178692530555
25;cuidar total;0.0;0.0;0.012067377882938728;0.11358045195839275
26;dato actualizar;0.0;0.0;0.2755068967351899;0.0
27;desarrollar economico;0.0;0.0;0.03016844470734682;0.10096040174079357
28;dia hoy;0.0;0.027511275340736663;0.009769582410176543;0.0715191280758697
