MODEL_LDA;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_NMF;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_LSI;TOPIC INDEX;TOPIC NAME;AVERAGE
all_all_topic;topic 0;radiar hablar;32.49098326250779;all_all_topic;topic 0;radiar hablar;17.300022492682015;all_all_topic;topic 0;radiar hablar;0.1744992762552514
all_all_topic;topic 0;medellinconecta radiar;29.125527075171235;all_all_topic;topic 0;plan desarrollar;15.549805165989282;all_all_topic;topic 0;medellinconecta radiar;0.15466981304442737
all_all_topic;topic 0;gracia escribirnos;27.221670623072434;all_all_topic;topic 0;medellinconecta radiar;15.233544842789767;all_all_topic;topic 0;gracia escribirnos;0.14673802776009778
all_all_topic;topic 0;dato actualizar;26.84423996225026;all_all_topic;topic 0;gracia escribirnos;14.639543265759775;all_all_topic;topic 0;dato actualizar;0.142772135117933
all_all_topic;topic 0;compartir dato;26.032242740214066;all_all_topic;topic 0;compartir dato;13.954955377177019;all_all_topic;topic 0;plan desarrollar;0.14002708784992807
all_all_topic;topic 0;reactivacion economica;22.187139941170745;all_all_topic;topic 0;dato actualizar;13.910581451678938;all_all_topic;topic 0;compartir dato;0.13880624247576817
all_all_topic;topic 0;plan desarrollar;21.43674963423062;all_all_topic;topic 0;reactivacion economica;13.01930828015495;all_all_topic;topic 0;reactivacion economica;0.12451348657172012
all_all_topic;topic 0;medellinmecuida compartir;20.65534376844837;all_all_topic;topic 0;ninos ninas;11.220979084825263;all_all_topic;topic 0;medellinmecuida compartir;0.11104499398061454
all_all_topic;topic 0;ninos ninas;17.910811095953065;all_all_topic;topic 0;medellinmecuida compartir;11.061482824935487;all_all_topic;topic 0;ninos ninas;0.10348648437211926
all_all_topic;topic 0;hoy medellinconecta;16.35464801585628;all_all_topic;topic 0;personar mayor;10.111851259001178;all_all_topic;topic 0;personar mayor;0.09297298327231883
all_all_topic;topic 1;reactivacion economica;0.5737585595923699;all_all_topic;topic 1;plan desarrollar;8.955151413635559;all_all_topic;topic 1;bueno noticiar;0.11770254887357766
all_all_topic;topic 1;medellinconecta radiar;0.5469844867026488;all_all_topic;topic 1;bueno noticiar;8.283809943732955;all_all_topic;topic 1;picar placa;0.09153425659973824
all_all_topic;topic 1;radiar hablar;0.5414519090826563;all_all_topic;topic 1;mas importante;5.986247202310574;all_all_topic;topic 1;cuidar intensivo;0.08639649035979403
all_all_topic;topic 1;personar mayor;0.5249244593638291;all_all_topic;topic 1;usar tapaboca;5.6970516214580975;all_all_topic;topic 1;vehiculos gas;0.08131434386804144
all_all_topic;topic 1;compartir dato;0.5235662152316277;all_all_topic;topic 1;fin semana;5.082866273241174;all_all_topic;topic 1;usar tapaboca;0.07551148615757568
all_all_topic;topic 1;redar social;0.5010079617070831;all_all_topic;topic 1;secretario salud;4.975103090219484;all_all_topic;topic 1;programar gobernar;0.06606790439278366
all_all_topic;topic 1;gracia escribirnos;0.4972051196617007;all_all_topic;topic 1;junto directivo;4.975026167923371;all_all_topic;topic 1;usar tecnologia;0.06432158641199383
all_all_topic;topic 1;plan desarrollar;0.49216500145750264;all_all_topic;topic 1;hacer partir;4.379707589741723;all_all_topic;topic 1;alcalde medellin;0.05590361140927849
all_all_topic;topic 1;junto directivo;0.4689691910835381;all_all_topic;topic 1;picar placa;4.020492718178789;all_all_topic;topic 1;campana sucio;0.05590361140927849
all_all_topic;topic 1;mas importante;0.45905799703071576;all_all_topic;topic 1;cuidar intensivo;3.8223231941453535;all_all_topic;topic 1;mas importante;0.053196345136871055
all_all_topic;topic 2;plan desarrollar;0.6876602853274475;all_all_topic;topic 2;bueno noticiar;4.027203000171877;all_all_topic;topic 2;redar social;0.381233760823252
all_all_topic;topic 2;bueno noticiar;0.6109346562720068;all_all_topic;topic 2;picar placa;3.909770936511064;all_all_topic;topic 2;verdad casar;0.10548384799384093
all_all_topic;topic 2;medellinconecta radiar;0.6104277470469025;all_all_topic;topic 2;cuidar intensivo;3.637760842750387;all_all_topic;topic 2;realizar taller;0.052741923996920466
all_all_topic;topic 2;usar tapaboca;0.596020771805026;all_all_topic;topic 2;vehiculos gas;3.38044374452845;all_all_topic;topic 2;aplicar periodista;0.052741923996920466
all_all_topic;topic 2;radiar hablar;0.5860105082969845;all_all_topic;topic 2;usar tapaboca;2.8120263274792205;all_all_topic;topic 2;aprender bueno;0.052741923996920466
all_all_topic;topic 2;compartir dato;0.5730275754332702;all_all_topic;topic 2;programar gobernar;2.7599027284821847;all_all_topic;topic 2;perfilar aplicar;0.052741923996920466
all_all_topic;topic 2;medellinmecuida compartir;0.5671673328707786;all_all_topic;topic 2;alcalde medellin;2.6818648334248927;all_all_topic;topic 2;pequeno fake;0.052741923996920466
all_all_topic;topic 2;reactivacion economica;0.5350718474758184;all_all_topic;topic 2;usar tecnologia;2.621070980307195;all_all_topic;topic 2;foto angelito;0.052741923996920466
all_all_topic;topic 2;gracia escribirnos;0.5216518252109801;all_all_topic;topic 2;campana sucio;2.550535037061328;all_all_topic;topic 2;iniciar taller;0.052741923996920466
all_all_topic;topic 2;personar mayor;0.5092855016980977;all_all_topic;topic 2;vida sagrado;2.33688738952909;all_all_topic;topic 2;disfrutar clase;0.052741923996920466
all_all_topic;topic 3;plan desarrollar;1.549590703258184;all_all_topic;topic 3;radiar hablar;7.605945507861949;all_all_topic;topic 3;hacer verlos;0.14108145461469124
all_all_topic;topic 3;ninos ninas;1.1212585404405533;all_all_topic;topic 3;medellinconecta radiar;6.781758340004117;all_all_topic;topic 3;enorme pedir;0.14108145461469124
all_all_topic;topic 3;fin semana;0.9681812846273009;all_all_topic;topic 3;dato actualizar;6.749604664536237;all_all_topic;topic 3;considerar tambien;0.14108145461469124
all_all_topic;topic 3;gracia escribirnos;0.9671571163474252;all_all_topic;topic 3;gracia escribirnos;6.176979866070133;all_all_topic;topic 3;lote pagar;0.14108145461469124
all_all_topic;topic 3;dato actualizar;0.9435151410108278;all_all_topic;topic 3;compartir dato;5.629368271292881;all_all_topic;topic 3;periodico seguir;0.14108145461469124
all_all_topic;topic 3;radiar hablar;0.9038852339243532;all_all_topic;topic 3;hoy medellinconecta;5.399036770206704;all_all_topic;topic 3;sintesis aislamiento;0.14108145461469124
all_all_topic;topic 3;compartir dato;0.8920239742065003;all_all_topic;topic 3;medellinmecuida compartir;4.673916286007324;all_all_topic;topic 3;activo creacion;0.14108145461469124
all_all_topic;topic 3;reactivacion economica;0.891851006296331;all_all_topic;topic 3;protocolo bioseguridad;4.137698557480807;all_all_topic;topic 3;instalaci disgustar;0.14108145461469124
all_all_topic;topic 3;bueno noticiar;0.8766342990276139;all_all_topic;topic 3;procesar proveedor;4.055402368582087;all_all_topic;topic 3;alcade gracia;0.14108145461469124
all_all_topic;topic 3;mas importante;0.8703851149992299;all_all_topic;topic 3;procesar seleccion;3.8284233582267575;all_all_topic;topic 3;lumoncolombia considerar;0.14108145461469124
