#;feature;luisfer81567047;gabrielmoreno10;AlcaldiadeMed;QuinteroCalle
83;saber ser;0.0;0.0;0.03846746230480315;0.06213218716185134
84;secretario mujer;0.0;0.0;0.03846746230480315;0.06213218716185134
85;secretario salud;0.0;0.0;0.09342097988309336;0.03106609358092567
86;seleccion proveedor;0.0;0.0;0.13940313794343195;0.0
87;semana septiembre;0.0;0.0;0.05576125517737277;0.0
88;ser ejemplo;0.0;0.0;0.010990703515658043;0.15533046790462834
89;ser partir;0.0;0.09682993488803182;0.03297211054697413;0.0
90;siguiente enlazar;0.0;0.0;0.09061203966323077;0.0
91;teatro aire;0.0;0.0;0.05576125517737277;0.0
92;tener mas;0.0;0.0;0.03297211054697413;0.12426437432370269
93;terminar pudrir;0.0;0.0;0.11849266725191715;0.0
94;todovaaestarbien amplio;0.0;0.0;0.05576125517737277;0.0
95;traves secretario;0.0;0.0;0.08364188276605916;0.0
96;ultimos ano;0.0;0.0;0.016486055273487066;0.15533046790462834
97;usar tapaboca;0.0;0.0;0.054953517578290215;0.37279312297110806
98;verdad casar;0.0;0.32751065179207556;0.0;0.0
99;vigencia futuro;0.0;0.0;0.03297211054697413;0.18639656148555403
