word;label;value;num
desfallecimiento;Miedo;0.43;2
desgracia;Miedo;0.629;2
deshonrar;Repulsion;0.63;2
detestable;Enojo;0.73;2
detestablemente;Enojo;0.662;2
detestación;Enojo;0.595;2
disgustar;Enojo;0.729;2
disgusto;Enojo;0.762;2
embobar;Alegria;0.298;2
encoger;Miedo;0.399;2
enfermedad;Repulsion;0.463;2
espantar;Miedo;0.899;2
estremecer;Alegria;0.495;2
estupendo;Alegria;0.864;2
excitar;Alegria;0.764;2
execrable;Miedo;0.429;2
fascinante;Alegria;0.932;2
fastidiar;Enojo;0.796;2
fastidio;Enojo;0.762;2
feo;Enojo;0.165;2
fobia;Miedo;0.932;2
frío;Miedo;0.099;2
furor;Alegria;0.496;2
grandioso;Alegria;0.564;2
grima;Enojo;0.465;2
hartar;Alegria;0.033;2
hastiar;Enojo;0.629;2
hechizo;Alegria;0.198;2
horrendo;Miedo;0.764;2
horripilación;Miedo;0.798;2
horror;Miedo;0.966;2
horroroso;Miedo;0.865;2
hostil;Enojo;0.564;2
humor;Alegria;0.73;2
impactar;Alegria;0.363;2
impotente;Miedo;0.396;2
impresionar;Alegria;0.397;2
injuriar;Enojo;0.563;2
inmoral;Repulsion;0.598;2
inquina;Enojo;0.463;2
insatisfecho;Enojo;0.462;2
insulto;Enojo;0.798;2
macanudo;Alegria;0.528;2
maldito;Enojo;0.665;2
maligno;Enojo;0.528;2
malquerencia;Enojo;0.396;2
malvado;Enojo;0.595;2
manía;Enojo;0.231;2
maravillar;Alegria;0.729;2
maravillosamente;Alegria;0.729;2
miedo;Miedo;0.932;2
molestar;Enojo;0.696;2
muerte;Miedo;0.865;2
nefasto;Repulsion;0.831;2
odio;Enojo;0.932;2
ofensivo;Enojo;0.696;2
ojeriza;Enojo;0.429;2
opresión;Enojo;0.396;2
panteón;Miedo;0.596;2
pena;Miedo;0.33;2
penumbra;Miedo;0.496;2
perseguir;Enojo;0.264;2
perverso;Repulsion;0.698;2
pestilente;Enojo;0.265;2
podrir;Repulsion;0.764;2
putrefacción;Repulsion;0.865;2
rabia;Enojo;0.898;2
rata;Miedo;0.231;2
rencor;Enojo;0.764;2
repudiar;Enojo;0.898;2
repugnancia;Enojo;0.765;2
repugnar;Enojo;0.798;2
sangre;Miedo;0.396;2
sangriento;Miedo;0.496;2
sobrecoger;Miedo;0.729;2
sobrecogimiento;Miedo;0.729;2
suspenso;Miedo;0.628;2
susto;Miedo;0.864;2
temor;Miedo;0.932;2
tenso;Enojo;0.264;2
tirria;Enojo;0.463;2
tormento;Enojo;0.365;2
tremendo;Miedo;0.564;2
vejación;Enojo;0.529;2
vergonzoso;Miedo;0.396;2
zaherir;Enojo;0.396;2
abajamiento;Tristeza;0.497;1
abajo;Tristeza;0.364;1
abandonamiento;Tristeza;0.865;1
abandonar;Tristeza;0.898;1
abatidamente;Tristeza;0.832;1
abatido;Tristeza;0.865;1
abatimiento;Tristeza;0.798;1
abatir;Tristeza;0.765;1
abierto;Sorpresa;0.298;1
abobamiento;Sorpresa;0.199;1
abobar;Sorpresa;0.298;1
abochornar;Tristeza;0.264;1
abominablemente;Repulsion;0.73;1
abominación;Enojo;0.464;1
aborreciblemente;Enojo;0.629;1
abrumar;Tristeza;0.43;1
abundancia;Alegria;0.83;1
aburrir;Tristeza;0.264;1
acabalar;Alegria;0.396;1
acallar;Alegria;0.198;1
acatar;Alegria;0.198;1
accidente;Miedo;0.696;1
acción;Alegria;0.397;1
aceptable;Alegria;0.594;1
aceptación;Alegria;0.696;1
acertijo;Sorpresa;0.531;1
aciago;Tristeza;0.563;1
acicate;Alegria;0.429;1
aclamación;Alegria;0.799;1
aclamar;Alegria;0.799;1
acobardar;Miedo;0.865;1
acogedor;Alegria;0.83;1
acoger;Alegria;0.729;1
acojonante;Sorpresa;0.73;1
acometedor;Enojo;0.463;1
acometer;Enojo;0.497;1
acometiente;Enojo;0.464;1
acometimiento;Enojo;0.431;1
acometividad;Enojo;0.397;1
acomodadamente;Alegria;0.729;1
acomplejado;Miedo;0.597;1
acongojar;Tristeza;0.796;1
acoquinamiento;Miedo;0.598;1
acoquinar;Miedo;0.831;1
